State,FIPS,Name,Area,People2010
AR,5089,Marion County,597.01,16653
AR,5091,Miller County,625.58,43462
AR,5093,Mississippi County,900.57,46480
AR,5095,Monroe County,607.12,8149
AR,5097,Montgomery County,779.88,9487
AR,5099,Nevada County,617.84,8997
AR,5101,Newton County,820.90,8330
AR,5103,Ouachita County,732.78,26120
AR,5105,Perry County,551.40,10445
AR,5107,Phillips County,695.66,21757
AR,5109,Pike County,600.62,11291
AR,5111,Poinsett County,758.39,24583
AR,5113,Polk County,857.68,20662
AR,5115,Pope County,812.55,61754
AR,5117,Prairie County,647.96,8715
AR,5119,Pulaski County,759.76,382748
AR,5121,Randolph County,652.19,17969
AR,5123,St. Francis County,634.77,28258
AR,5125,Saline County,723.60,107118
AR,5127,Scott County,892.32,11233
AR,5129,Searcy County,666.09,8195
AR,5131,Sebastian County,531.91,125744
AR,5133,Sevier County,565.13,17058
AR,5135,Sharp County,604.44,17264
AR,5137,Stone County,606.40,12394
AR,5139,Union County,1039.21,41639
AR,5141,Van Buren County,708.14,17295
AR,5143,Washington County,941.97,203065
AR,5145,White County,1035.08,77076
AR,5147,Woodruff County,586.79,7260
AR,5149,Yell County,929.98,22185
CA,6001,Alameda County,739.02,1510271
CA,6003,Alpine County,738.33,1175
CA,6005,Amador County,594.58,38091
CA,6007,Butte County,1636.46,220000
CA,6009,Calaveras County,1020.01,45578
CA,6011,Colusa County,1150.73,21419
CA,6013,Contra Costa County,715.94,1049025
CA,6015,Del Norte County,1006.37,28610
CA,6017,El Dorado County,1707.88,181058
CA,6019,Fresno County,5957.99,930450
CA,6021,Glenn County,1313.95,28122
CA,6023,Humboldt County,3567.99,134623
CA,6025,Imperial County,4176.60,174528
CA,6027,Inyo County,10180.88,18546
CA,6029,Kern County,8131.92,839631
CA,6031,Kings County,1389.42,152982
CA,6033,Lake County,1256.46,64665
CA,6035,Lassen County,4541.18,34895
CA,6037,Los Angeles County,4057.88,9818605
CA,6039,Madera County,2137.07,150865
CA,6041,Marin County,520.31,252409
CA,6043,Mariposa County,1448.82,18251
CA,6045,Mendocino County,3506.34,87841
CA,6047,Merced County,1934.97,255793
CA,6049,Modoc County,3917.77,9686
CA,6051,Mono County,3048.98,14202
CA,6053,Monterey County,3280.60,415057
CA,6055,Napa County,748.36,136484
CA,6057,Nevada County,957.77,98764
CA,6059,Orange County,790.57,3010232
CA,6061,Placer County,1407.01,348432
CA,6063,Plumas County,2553.04,20007
CA,6065,Riverside County,7206.48,2189641
CA,6067,Sacramento County,964.64,1418788
CA,6069,San Benito County,1388.71,55269
CA,6071,San Bernardino County,20056.94,2035210
CA,6073,San Diego County,4206.63,3095313
CA,6075,San Francisco County,46.87,805235
CA,6077,San Joaquin County,1391.32,685306
CA,6079,San Luis Obispo County,3298.57,269637
CA,6081,San Mateo County,448.41,718451
CA,6083,Santa Barbara County,2735.09,423895
CA,6085,Santa Clara County,1290.10,1781642
CA,6087,Santa Cruz County,445.17,262382
CA,6089,Shasta County,3775.40,177223
CA,6091,Sierra County,953.21,3240
CA,6093,Siskiyou County,6277.89,44900
CA,6095,Solano County,821.76,413344
CA,6097,Sonoma County,1575.85,483878
CA,6099,Stanislaus County,1494.83,514453
CA,6101,Sutter County,602.41,94737
CA,6103,Tehama County,2949.71,63463
CA,6105,Trinity County,3179.25,13786
CA,6107,Tulare County,4824.21,442179
CA,6109,Tuolumne County,2220.88,55365
CA,6111,Ventura County,1843.13,823318
CA,6113,Yolo County,1014.69,200849
CA,6115,Yuba County,631.84,72155
CO,8001,Adams County,1167.65,441603
CO,8003,Alamosa County,722.64,15445
CO,8005,Arapahoe County,798.10,572003
CO,8007,Archuleta County,1350.18,12084
CO,8009,Baca County,2554.97,3788
CO,8011,Bent County,1512.86,6499
CO,8013,Boulder County,726.29,294567
CO,8014,Broomfield County,33.03,55889
CO,8015,Chaffee County,1013.40,17809
CO,8017,Cheyenne County,1778.28,1836
CO,8019,Clear Creek County,395.23,9088
CO,8021,Conejos County,1287.39,8256
CO,8023,Costilla County,1226.95,3524
CO,8025,Crowley County,787.42,5823
CO,8027,Custer County,738.63,4255
CO,8029,Delta County,1142.05,30952
CO,8031,Denver County,153.00,600158
CO,8033,Dolores County,1067.05,2064
CO,8035,Douglas County,840.25,285465
CO,8037,Eagle County,1684.53,52197
CO,8039,Elbert County,1850.85,23086
CO,8041,El Paso County,2126.80,622263
CO,8043,Fremont County,1533.07,46824
CO,8045,Garfield County,2947.56,56389
CO,8047,Gilpin County,149.90,5441
CO,8049,Grand County,1846.33,14843
CO,8051,Gunnison County,3239.10,15324
CO,8053,Hinsdale County,1117.25,843
CO,8055,Huerfano County,1591.00,6711
CO,8057,Jackson County,1613.72,1394
CO,8059,Jefferson County,764.21,534543
CO,8061,Kiowa County,1767.77,1398
CO,8063,Kit Carson County,2160.82,8270
CO,8065,Lake County,376.91,7310
CO,8067,La Plata County,1692.08,51334
CO,8069,Larimer County,2596.00,299630
CO,8071,Las Animas County,4772.67,15507
CO,8073,Lincoln County,2577.63,5467
CO,8075,Logan County,1838.55,22709
CO,8077,Mesa County,3328.97,146723
CO,8079,Mineral County,875.67,712
CO,8081,Moffat County,4743.29,13795
CO,8083,Montezuma County,2029.53,25535
CO,8085,Montrose County,2240.70,41276
CO,8087,Morgan County,1280.43,28159
CO,8089,Otero County,1261.96,18831
CO,8091,Ouray County,541.59,4436
CO,8093,Park County,2193.85,16206
CO,8095,Phillips County,687.93,4442
CO,8097,Pitkin County,970.70,17148
CO,8099,Prowers County,1638.39,12551
CO,8101,Pueblo County,2386.10,159063
CO,8103,Rio Blanco County,3220.93,6666
CO,8105,Rio Grande County,911.96,11982
CO,8107,Routt County,2362.03,23509
CO,8109,Saguache County,3168.52,6108
CO,8111,San Juan County,387.49,699
CO,8113,San Miguel County,1286.61,7359
CO,8115,Sedgwick County,548.04,2379
CO,8117,Summit County,608.36,27994
CO,8119,Teller County,557.06,23350
CO,8121,Washington County,2518.03,4814
CO,8123,Weld County,3987.24,252825
CO,8125,Yuma County,2364.40,10043
CT,9001,Fairfield County,624.89,916829
CT,9003,Hartford County,735.10,894014
CT,9005,Litchfield County,920.56,189927
CT,9007,Middlesex County,369.30,165676
CT,9009,New Haven County,604.51,862477
CT,9011,New London County,664.88,274055
CT,9013,Tolland County,410.21,152691
CT,9015,Windham County,512.91,118428
DE,10001,Kent County,586.18,162310
DE,10003,New Castle County,426.29,538479
DE,10005,Sussex County,936.08,197145
DC,11001,District of Columbia,61.05,601723
FL,12001,Alachua County,875.02,247336
FL,12003,Baker County,585.23,27115
FL,12005,Bay County,758.46,168852
FL,12007,Bradford County,293.96,28520
FL,12009,Brevard County,1015.66,543376
FL,12011,Broward County,1209.79,1748066
FL,12013,Calhoun County,567.33,14625
FL,12015,Charlotte County,680.28,159978
FL,12017,Citrus County,581.70,141236
FL,12019,Clay County,604.36,190865
FL,12021,Collier County,1998.32,321520
FL,12023,Columbia County,797.57,67531
FL,12027,DeSoto County,637.06,34862
FL,12029,Dixie County,705.05,16422
FL,12031,Duval County,762.19,864263
FL,12033,Escambia County,656.46,297619
FL,12035,Flagler County,485.46,95696
FL,12037,Franklin County,534.72,11549
FL,12039,Gadsden County,516.33,46389
FL,12041,Gilchrist County,349.68,16939
FL,12043,Glades County,806.01,12884
FL,12045,Gulf County,564.01,15863
FL,12047,Hamilton County,513.79,14799
FL,12049,Hardee County,637.78,27731
FL,12051,Hendry County,1152.75,39140
FL,12053,Hernando County,472.54,172778
FL,12055,Highlands County,1016.61,98786
FL,12057,Hillsborough County,1020.21,1229226
FL,12059,Holmes County,478.78,19927
FL,12061,Indian River County,502.87,138028
FL,12063,Jackson County,917.76,49746
FL,12065,Jefferson County,598.10,14761
FL,12067,Lafayette County,543.41,8870
FL,12069,Lake County,938.38,297052
FL,12071,Lee County,784.51,618754
FL,12073,Leon County,666.85,275487
FL,12075,Levy County,1118.21,40801
FL,12077,Liberty County,835.56,8365
FL,12079,Madison County,695.95,19224
FL,12081,Manatee County,742.93,322833
FL,12083,Marion County,1584.55,331298
FL,12085,Martin County,543.46,146318
FL,12086,Miami-Dade County,1897.72,2496435
FL,12087,Monroe County,983.28,73090
FL,12089,Nassau County,648.64,73314
FL,12091,Okaloosa County,930.25,180822
FL,12093,Okeechobee County,768.91,39996
FL,12095,Orange County,903.43,1145956
FL,12097,Osceola County,1327.45,268685
FL,12099,Palm Beach County,1969.76,1320134
FL,12101,Pasco County,746.89,464697
FL,12103,Pinellas County,273.80,916542
FL,12105,Polk County,1797.84,602095
FL,12107,Putnam County,727.62,74364
FL,12109,St. Johns County,600.66,190039
FL,12111,St. Lucie County,571.93,277789
FL,12113,Santa Rosa County,1011.60,151372
FL,12115,Sarasota County,555.87,379448
FL,12117,Seminole County,309.22,422718
FL,12119,Sumter County,546.93,93420
FL,12121,Suwannee County,688.55,41551
FL,12123,Taylor County,1043.31,22570
FL,12125,Union County,243.56,15535
FL,12127,Volusia County,1101.03,494593
FL,12129,Wakulla County,606.42,30776
FL,12131,Walton County,1037.62,55043
FL,12133,Washington County,582.80,24896
GA,13001,Appling County,507.08,18236
GA,13003,Atkinson County,339.38,8375
GA,13005,Bacon County,258.58,11096
GA,13007,Baker County,341.94,3451
GA,13009,Baldwin County,257.84,45720
GA,13011,Banks County,232.09,18395
GA,13013,Barrow County,160.31,69367
GA,13015,Bartow County,459.54,100157
GA,13017,Ben Hill County,250.12,17634
GA,13019,Berrien County,451.90,19286
GA,13021,Bibb County,249.76,155547
GA,13023,Bleckley County,215.87,13063
GA,13025,Brantley County,442.36,18411
GA,13027,Brooks County,493.05,16243
GA,13029,Bryan County,435.97,30233
GA,13031,Bulloch County,672.81,70217
GA,13033,Burke County,826.97,23316
GA,13035,Butts County,184.39,23655
GA,13037,Calhoun County,280.37,6694
GA,13039,Camden County,613.03,50513
GA,13043,Candler County,243.04,10998
GA,13045,Carroll County,499.08,110527
GA,13047,Catoosa County,162.16,63942
GA,13049,Charlton County,773.58,12171
GA,13051,Chatham County,426.44,265128
GA,13053,Chattahoochee County,248.74,11267
GA,13055,Chattooga County,313.34,26015
GA,13057,Cherokee County,421.67,214346
GA,13059,Clarke County,119.20,116714
GA,13061,Clay County,195.38,3183
GA,13063,Clayton County,141.57,259424
GA,13065,Clinch County,800.22,6798
GA,13067,Cobb County,339.55,688078
GA,13069,Coffee County,575.10,42356
GA,13071,Colquitt County,544.15,45498
GA,13073,Columbia County,290.09,124053
GA,13075,Cook County,227.16,17212
GA,13077,Coweta County,440.89,127317
GA,13079,Crawford County,324.89,12630
GA,13081,Crisp County,272.58,23439
GA,13083,Dade County,173.98,16633
GA,13085,Dawson County,210.83,22330
GA,13087,Decatur County,597.14,27842
GA,13089,DeKalb County,267.58,691893
GA,13091,Dodge County,495.89,21796
GA,13093,Dooly County,391.94,14918
GA,13095,Dougherty County,328.69,94565
GA,13097,Douglas County,200.07,132403
GA,13099,Early County,512.59,11008
GA,13101,Echols County,414.89,4034
GA,13103,Effingham County,477.70,52250
GA,13105,Elbert County,351.06,20166
GA,13107,Emanuel County,680.60,22598
GA,13109,Evans County,182.85,11000
GA,13111,Fannin County,386.72,23682
GA,13113,Fayette County,194.34,106567
GA,13115,Floyd County,509.91,96317
