Data;Retorno;Volume
05/09/1962;0,011612109;2250000
06/09/1962;0,013053288;1815000
07/09/1962;0,01481863;1320000
10/09/1962;0,00523255;1807500
11/09/1962;0,005856387;1545000
12/09/1962;0,004254026;1305000
13/09/1962;0,000325657;847500
14/09/1962;0,012385573;1095000
17/09/1962;0,017385736;1462500
18/09/1962;0,007594685;2280000
19/09/1962;0,014669014;1470000
20/09/1962;0,009060513;885000
21/09/1962;0,015676321;2137500
24/09/1962;0,039151338;2625000
25/09/1962;0,020028635;2445000
26/09/1962;0,037238163;2055000
27/09/1962;0,015470506;2880000
28/09/1962;0,009999811;1417500
01/10/1962;0,037129354;1852500
02/10/1962;0,029379624;2835000
03/10/1962;0,005352017;1800000
04/10/1962;0,026542887;1305000
05/10/1962;0,006987742;1740000
08/10/1962;0,001387152;637500
09/10/1962;0,018067641;1185000
10/10/1962;0,019454247;1815000
11/10/1962;0,008701237;1365000
12/10/1962;0,002107334;1042500
15/10/1962;0,033076358;930000
16/10/1962;0,025886543;1260000
17/10/1962;0,011188739;1380000
18/10/1962;0,017633735;982500
19/10/1962;0,019710999;2370000
22/10/1962;0,014722539;2745000
23/10/1962;0,037899917;2520000
24/10/1962;0,030301354;3690000
25/10/1962;0,004411158;2677500
26/10/1962;0,020680019;1552500
29/10/1962;0,039216617;3525000
30/10/1962;0,021045122;2647500
31/10/1962;0,016347553;1177500
01/11/1962;0,017341377;1995000
02/11/1962;0,014915392;3135000
05/11/1962;0,012107359;1732500
07/11/1962;0,000690162;1747500
08/11/1962;0,016609302;1275000
09/11/1962;0,01688983;1102500
12/11/1962;0,033910114;2175000
13/11/1962;0,018072726;2115000
14/11/1962;0,021130778;1845000
15/11/1962;0,005339718;2085000
16/11/1962;0,016107685;1500000
19/11/1962;0,017173161;937500
20/11/1962;0,011760179;1125000
21/11/1962;0,002324697;1597500
23/11/1962;0,028496346;2767500
26/11/1962;0,001932316;2145000
27/11/1962;0,015435191;1732500
28/11/1962;0,006965864;2662500
29/11/1962;0,008804603;1755000
30/11/1962;0,006235122;1305000
03/12/1962;0,017564248;1290000
04/12/1962;0,022348838;1762500
05/12/1962;0,003747141;2145000
06/12/1962;0,000628056;1387500
07/12/1962;0,002508276;1117500
10/12/1962;0,021383852;1477500
11/12/1962;0,003855508;1132500
12/12/1962;0,016128011;772500
13/12/1962;0,01460236;1125000
14/12/1962;0,003866254;997500
17/12/1962;0,011554092;907500
18/12/1962;0,007143096;877500
19/12/1962;0,025834638;967500
20/12/1962;0;1275000
21/12/1962;0,017532852;900000
24/12/1962;0,022713055;682500
26/12/1962;0,000635627;727500
27/12/1962;0,006983564;787500
28/12/1962;0,003835786;585000
31/12/1962;0,006370152;1050000
02/01/1963;0,013460096;2392500
03/01/1963;0,030538758;1125000
04/01/1963;0,00126086;1537500
07/01/1963;0,008186458;885000
08/01/1963;0,024762886;1807500
09/01/1963;0,000619103;1912500
10/01/1963;0,006810593;1552500
11/01/1963;0,003075768;1350000
14/01/1963;0,015941247;2475000
15/01/1963;0,00180987;2085000
16/01/1963;0,015662006;1267500
17/01/1963;0,012852041;1215000
18/01/1963;0,003021869;855000
21/01/1963;0,003636624;877500
22/01/1963;0,001811724;930000
23/01/1963;0,001205379;660000
24/01/1963;0,004224296;930000
25/01/1963;0,006010296;697500
28/01/1963;0,014335675;1590000
29/01/1963;0,006477687;742500
30/01/1963;0,005334549;720000
31/01/1963;0,010130828;997500
01/02/1963;0;540000
04/02/1963;0,008259186;630000
05/02/1963;0,0020221;765000
06/02/1963;0,006532227;705000
07/02/1963;0,001794392;652500
08/02/1963;0,002384985;600000
11/02/1963;0,005356256;457500
12/02/1963;0,001795786;915000
13/02/1963;0,002389338;630000
14/02/1963;0,0005982;840000
15/02/1963;0,002394382;570000
18/02/1963;0,002089704;450000
19/02/1963;0,008077488;765000
20/02/1963;0,008443013;900000
21/02/1963;0,001825278;840000
25/02/1963;0,015235401;607500
26/02/1963;0,00680788;810000
27/02/1963;0,003687928;442500
28/02/1963;0,013572199;1125000
01/03/1963;0,006253133;1027500
04/03/1963;0,01573318;750000
05/03/1963;0,004337367;457500
06/03/1963;0,007777696;420000
07/03/1963;0,009571341;720000
08/03/1963;0,000610237;397500
11/03/1963;0,000612919;487500
12/03/1963;0,000612525;352500
13/03/1963;0,001837929;457500
14/03/1963;0,003058878;592500
15/03/1963;0,007926528;510000
18/03/1963;0,00907442;465000
19/03/1963;0,00122131;412500
20/03/1963;0,009756258;495000
21/03/1963;0,006642668;795000
22/03/1963;0,007294379;427500
25/03/1963;0,001810959;480000
26/03/1963;0,006651468;810000
27/03/1963;0,011410513;847500
28/03/1963;0,000593227;825000
29/03/1963;0,00059358;480000
01/04/1963;0;682500
02/04/1963;0,008312656;562500
03/04/1963;0,01137635;517500
04/04/1963;0,015689634;1297500
05/04/1963;0,03060411;1597500
08/04/1963;0,017250864;1590000
09/04/1963;0,010842662;1237500
10/04/1963;0,005339663;930000
11/04/1963;0,008759973;1282500
15/04/1963;0,000560365;832500
16/04/1963;0,007287425;652500
17/04/1963;0,005082449;480000
18/04/1963;0;292500
19/04/1963;0,021567584;765000
22/04/1963;0,015554588;1132500
23/04/1963;0,008753576;840000
24/04/1963;0,003253935;855000
25/04/1963;0,004594054;697500
26/04/1963;0,011569025;637500
29/04/1963;0,003192295;525000
30/04/1963;0,010138621;870000
01/05/1963;0,002695421;600000
02/05/1963;0,008064527;367500
03/05/1963;0,006933074;307500
06/05/1963;0,015574533;592500
07/05/1963;0,004651077;540000
08/05/1963;0,021115122;742500
09/05/1963;0,001063867;1125000
10/05/1963;0,009563957;472500
13/05/1963;0,00789369;382500
14/05/1963;0,001592233;450000
15/05/1963;0,003188877;525000
16/05/1963;0,004238098;450000
17/05/1963;0,006383201;457500
20/05/1963;0,009100288;435000
21/05/1963;0,009183863;517500
22/05/1963;0,002140729;337500
23/05/1963;0,003218995;330000
24/05/1963;0,00322939;292500
27/05/1963;0,01079951;457500
28/05/1963;0,004366965;450000
29/05/1963;0,021739205;555000
31/05/1963;0,0154254;1072500
03/06/1963;0,008380985;847500
04/06/1963;0,001585505;585000
05/06/1963;0,008439768;495000
06/06/1963;0;292500
07/06/1963;0,003722865;360000
10/06/1963;0,012814107;660000
11/06/1963;0,005949368;277500
12/06/1963;0,006989488;555000
13/06/1963;0,010144501;450000
14/06/1963;0,000539393;337500
17/06/1963;0,008634945;427500
18/06/1963;0,00163247;532500
19/06/1963;0,003272336;652500
20/06/1963;0,004922898;1185000
21/06/1963;0,001648623;547500
24/06/1963;0,014269845;780000
25/06/1963;0,005010611;675000
26/06/1963;0,017907021;1245000
27/06/1963;0,01025748;1365000
28/06/1963;0,00460653;652500
01/07/1963;0,022349623;1492500
02/07/1963;0,028136228;1170000
03/07/1963;0,007411886;1027500
05/07/1963;0,00735593;450000
08/07/1963;0,02022402;600000
09/07/1963;0,011181219;652500
10/07/1963;0,00879;645000
11/07/1963;0,006864511;615000
