IBOV Index Members;IBOV Index Weight;IBX Index Members;IBX Index Weight;IBX50 Index Members;IBX50 Index Weight
CRUZ3 BS Equity;0,8141052;POMO4 BS Equity;0,2138719;;#N/A N/A
SUZB5 BS Equity;0,5248612;MRFG3 BS Equity;0,2177003;;#N/A N/A
VIVT4 BS Equity;1,441293;GOAU4 BS Equity;0,3347107;;#N/A N/A
TIMP3 BS Equity;1,053412;MILS3 BS Equity;0,08006191;;#N/A N/A
TBLE3 BS Equity;0,742625;BEEF3 BS Equity;0,1070086;;#N/A N/A
UGPA3 BS Equity;2,459026;MMXM3 BS Equity;0,004758203;;#N/A N/A
USIM5 BS Equity;0,2629602;MRVE3 BS Equity;0,2297282;;#N/A N/A
VALE3 BS Equity;3,090644;MULT3 BS Equity;0,3735429;;#N/A N/A
VALE5 BS Equity;3,946908;MPLU3 BS Equity;0,1464271;;#N/A N/A
;#N/A N/A;NATU3 BS Equity;0,5712672;;#N/A N/A
;#N/A N/A;ODPV3 BS Equity;0,2440289;;#N/A N/A
;#N/A N/A;OIBR3 BS Equity;0,1805393;;#N/A N/A
;#N/A N/A;OIBR4 BS Equity;0,426588;;#N/A N/A
;#N/A N/A;PDGR3 BS Equity;0,1384774;;#N/A N/A
;#N/A N/A;PETR3 BS Equity;3,15714;;#N/A N/A
;#N/A N/A;PETR4 BS Equity;4,957975;;#N/A N/A
;#N/A N/A;PSSA3 BS Equity;0,2815171;;#N/A N/A
;#N/A N/A;PRML3 BS Equity;0,04344194;;#N/A N/A
;#N/A N/A;QGEP3 BS Equity;0,0548146;;#N/A N/A
;#N/A N/A;QUAL3 BS Equity;0,5760537;;#N/A N/A
;#N/A N/A;RADL3 BS Equity;0,4495274;;#N/A N/A
;#N/A N/A;RAPT4 BS Equity;0,08459463;;#N/A N/A
;#N/A N/A;RSID3 BS Equity;0,1330448;;#N/A N/A
;#N/A N/A;SMLE3 BS Equity;0,2520622;;#N/A N/A
;#N/A N/A;CRUZ3 BS Equity;0,7435591;;#N/A N/A
;#N/A N/A;SULA11 BS Equity;0,2920172;;#N/A N/A
;#N/A N/A;SUZB5 BS Equity;0,4793795;;#N/A N/A
;#N/A N/A;VIVT4 BS Equity;1,316398;;#N/A N/A
;#N/A N/A;TIMP3 BS Equity;0,9621284;;#N/A N/A
;#N/A N/A;TOTS3 BS Equity;0,4578321;;#N/A N/A
;#N/A N/A;TBLE3 BS Equity;0,678273;;#N/A N/A
;#N/A N/A;TAEE11 BS Equity;0,1748191;;#N/A N/A
;#N/A N/A;UGPA3 BS Equity;2,873838;;#N/A N/A
;#N/A N/A;USIM5 BS Equity;0,2401734;;#N/A N/A
;#N/A N/A;VALE3 BS Equity;2,822825;;#N/A N/A
;#N/A N/A;VALE5 BS Equity;3,60489;;#N/A N/A
;#N/A N/A;VLID3 BS Equity;0,2078669;;#N/A N/A
;#N/A N/A;VVAR11 BS Equity;0,2854399;;#N/A N/A
;#N/A N/A;WEGE3 BS Equity;0,8291879;;#N/A N/A
