Apolice;Inicio de vigência;Fim de vigência;Qtd_Sinistros;sin_liq_casco
2476;24/10/2021;24/10/2022;1;5444.6
2484;10/10/2021;10/10/2022;1;9940.73
2497;14/07/2021;14/07/2022;1;7413.6
2562;05/03/2021;05/03/2022;1;9165.76
2587;24/09/2021;24/09/2022;1;4118.66
2601;13/05/2021;13/05/2022;1;18524.57
2634;04/09/2021;04/09/2022;1;2790.02
2642;19/07/2021;19/07/2022;1;4318.43
2682;02/08/2021;02/08/2022;1;3920.36
2708;08/06/2021;08/06/2022;1;7070.03
2723;29/10/2021;29/10/2022;1;1936.59
2728;14/05/2021;14/05/2022;1;3357.26
2730;24/09/2021;24/09/2022;1;8467.97
2743;22/02/2021;22/02/2022;1;2175.71
2748;13/01/2021;13/01/2022;1;1087.27
2756;07/06/2021;07/06/2022;1;2316.72
2782;05/12/2021;05/12/2022;1;15934.76
2800;04/11/2021;04/11/2022;1;4023.55
2806;27/12/2021;27/12/2022;1;12915.98
2809;22/10/2021;22/10/2022;1;1000
2818;13/06/2021;13/06/2022;1;1000
2822;28/08/2021;28/08/2022;1;1000
2901;15/11/2021;15/11/2022;1;3726.69
2913;11/10/2021;11/10/2022;1;20843.6
2946;02/12/2021;02/12/2022;1;8544.82
2955;06/01/2021;06/01/2022;1;5001.79
2978;31/12/2021;31/12/2022;1;4040.35
2991;31/03/2021;31/03/2022;1;4370.23
3001;17/04/2021;17/04/2022;1;1939.07
3006;05/01/2021;05/01/2022;1;10025.4
3008;14/11/2021;14/11/2022;1;1301.95
3017;21/03/2021;21/03/2022;1;1000
3020;07/08/2021;07/08/2022;1;1000
3083;29/10/2021;29/10/2022;1;1639.27
3177;12/12/2021;12/12/2022;1;2899.11
3198;15/11/2021;15/11/2022;1;3726.69
3208;11/10/2021;11/10/2022;1;20843.6
3245;02/12/2021;02/12/2022;1;8544.82
3252;06/01/2021;06/01/2022;1;5001.79
3287;31/03/2021;31/03/2022;1;4370.23
3303;14/11/2021;14/11/2022;1;1301.95
3309;21/03/2021;21/03/2022;1;1000
3312;07/08/2021;07/08/2022;1;1000
3329;21/01/2021;21/01/2022;1;1000
3367;19/02/2021;19/02/2022;1;8801.52
3373;29/10/2021;29/10/2022;1;1639.27
3403;04/11/2021;04/11/2022;1;2000
3404;27/08/2021;27/08/2022;1;1000
3407;16/06/2021;16/06/2022;1;1000
3415;10/09/2021;10/09/2022;1;1000
3424;12/01/2021;12/01/2022;1;1000
3433;18/12/2021;18/12/2022;1;2000
3458;28/05/2021;28/05/2022;1;4099.79
3473;12/03/2021;12/03/2022;1;3332.57
3478;26/04/2021;26/04/2022;1;19093
3585;03/03/2021;03/03/2022;1;93768.93
3602;03/08/2021;03/08/2022;1;12857.48
3690;04/04/2021;04/04/2022;1;1000
3701;27/08/2021;27/08/2022;1;1000
3705;16/06/2021;16/06/2022;1;1000
3718;12/01/2021;12/01/2022;1;1000
3728;18/12/2021;18/12/2022;1;2000
3732;16/04/2021;16/04/2022;1;17267.21
3754;28/05/2021;28/05/2022;1;4099.79
3767;26/04/2021;26/04/2022;1;19093
3880;03/03/2021;03/03/2022;1;93768.93
3890;16/11/2021;16/11/2022;1;18528.98
3898;03/08/2021;03/08/2022;1;12857.48
3899;03/08/2021;03/08/2022;1;3328.99
3989;04/04/2021;04/04/2022;1;1000
4044;27/10/2021;27/10/2022;1;1000
4048;21/08/2021;21/08/2022;1;8999
4064;24/03/2021;24/03/2022;1;8217.13
4082;23/04/2021;23/04/2022;1;3441.64
4091;25/06/2021;25/06/2022;1;6016.54
4113;08/05/2021;08/05/2022;1;22410.04
4115;03/09/2021;03/09/2022;1;16572.48
4120;18/09/2021;18/09/2022;1;108595.77
4275;19/05/2021;19/05/2022;1;1000
4315;03/11/2021;03/11/2022;1;3082.31
4336;02/02/2021;02/02/2022;1;1000
4390;21/08/2021;21/08/2022;1;8999
4395;28/09/2021;28/09/2022;1;13876.96
4410;24/03/2021;24/03/2022;1;8217.13
4430;23/04/2021;23/04/2022;1;3441.64
4460;03/09/2021;03/09/2022;1;16572.48
4465;18/09/2021;18/09/2022;1;108595.77
4602;16/08/2021;16/08/2022;1;8535.65
4620;19/05/2021;19/05/2022;1;1000
4660;03/11/2021;03/11/2022;1;3082.31
4682;02/02/2021;02/02/2022;1;1000
4688;31/05/2021;31/05/2022;1;2678
4694;26/01/2021;26/01/2022;1;1000
4793;27/05/2021;27/05/2022;1;3366.27
4804;24/07/2021;24/07/2022;1;4026.47
4831;25/10/2021;25/10/2022;1;124322.43
4846;29/12/2021;29/12/2022;1;2351.41
4904;12/03/2021;12/03/2022;1;8948.78
4927;23/03/2021;23/03/2022;1;12792.31
4961;19/04/2021;19/04/2022;1;5813.21
5034;24/09/2021;24/09/2022;1;1582.02
5046;26/01/2021;26/01/2022;1;1000
5152;27/05/2021;27/05/2022;1;3366.27
5164;24/07/2021;24/07/2022;1;4026.47
5196;28/01/2021;28/01/2022;1;1000
